Id,Label,Ambuguity
0,Unknown (community),
1,Text Mining,0
2,Math,1
3,Convolution,1
4,Unknonw (finance),
5,Data Labelling,0
6,Decomposition,1
7,Multimodal,1
8,Deep Learning,0
9,Social Network,0
10,Recommender System,0
11,Eigen Method,1
12,Biomedical,0
13,Unknown (Energy),
14,Dimensionality Reduction,1
15,Optimization,0
16,Causual Inference,0
17,Game,1
18,Classification,
19,Markov Decision,0
20,Shortest Path,1
21,Imputation,1
22,Compression,1
23,Signal Processing,0
24,Reinforecement Learning,0
25,Unknown (Localization),
26,Graph,0
27,Dialog,1
28,Riemannian Method,0
29,Abnomaly Detection,0
30,Gene,0
31,Computer Vision,1
32,Clustering,1
33,Pairwise Comparison,1
34,Neurology,0
35,Distance,0
36,Probablistics Model,0
37,Unknown (Acoustic),
38,Boosting,1
39,Lasso,0
40,Clustering,
41,NLP,0
42,Monte Carlo Method,0
43,information retrieval,1
44,SVM,1
